name,quantity,unit
g heavy whipping cream,499.8,milliliters
g puff pastry,498.952,grams
g sugar,99.223,grams
g sugar,299.938,grams
g sugar,25.0,grams
g sugar,2.0,tbsps
g sugar,4.0,tbsps
g sugar,2.5,tbsps
g sugar,100.0,grams
g sugar,2.0,teaspoons
g sugar,100.0,grams
g sugar,50.0,grams
g sugar,1.0,tbsp
g sugar,2.0,teaspoons
g sugar,0.5,teaspoons
g sugar,1.0,teaspoon
g sugar,50.0,grams
g sugar,100.0,grams
g sugar,3.0,tbsps
ganache,1.0,serving
ganache,6.0,servings
garlic,1.0,clove
garlic,2.0,cloves
garlic,1.0,clove
garlic,2.0,cloves
garlic,2.0,cloves
garlic,1.0,tbsp
garlic,1.5,teaspoons
garlic,3.0,cloves
garlic,2.0,cloves
garlic,2.0,cloves
garlic bu,453.592,grams
garlic clove,4.0,
garlic clove,1.0,
garlic clove,1.0,
garlic powder,4.0,servings
garnish: cilantro,8.0,grams
ghee,10.0,servings
ghee,1.0,tbsp
ginger,1.0,teaspoon
ginger,1.0,inch
ginger,1.0,tbsp
gloves garlic,2.0,
golden syrup,85.25,milliliters
graham wafer crumbs,112.0,milliliters
granny smith apples,3.0,larges
grape seed oil,1.0,tbsp
grapeseed oil,1.0,tbsp
green beans,100.0,grams
green beans,340.194,grams
green onion,4.0,
green onion,25.0,grams
green onion,12.5,grams
ground beef,453.592,grams
ground cardamom,0.5,teaspoons
ground coriander,0.5,teaspoons
ground cumin,0.5,teaspoons
ground cumin,0.5,teaspoons
ground flax,1.0,tbsp
ground flax,3.0,tbsps
ground flaxseed,80.0,grams
ground nutmeg,2.0,pinches
ground pepper,1.0,teaspoon
ground pepper,0.5,teaspoons
ground pepper,0.25,teaspoons
gruyère cheese,28.35,grams
half-and-half,121.0,milliliters
heavy cream,119.0,milliliters
heavy cream,1.0,tbsp
herbs,3.0,pinches
honey,169.5,milliliters
icing sugar,125.0,grams
jalapeno chile peppers,3.0,
jalapeño peppers,2.0,
jar pear,2.0,halves
juice of lemon,0.5,
juice of lemon,2.0,teaspoons
juice of lemon,1.0,teaspoon
juice of lemon,2.0,tbsps
juice of lemon,2.0,teaspoons
juice of lime,2.0,
kahlua,1.0,dash
ketchup,1.0,tbsp
kidney beans,177.0,grams
korean marinade,4.0,servings
kosher salt,1.0,teaspoon
leek,0.5,
lemon verbena leaves,4.0,
lemon zest,1.0,
lentils,0.75,
lentils,576.0,grams
lime,1.0,
mango,165.0,grams
mango pieces,165.0,grams
maple syrup,3.5,tbs
milk,488.0,milliliters
milk,488.0,milliliters
milk,915.0,milliliters
milk,177.0,milliliters
milk,183.75,milliliters
milk,16.0,fl. oz.s
milk,100.0,milliliters
mint leaves,11.25,grams
molasses,0.75,teaspoons
mung bean sprouts,104.0,milliliters
mushrooms,340.194,grams
mushrooms,340.194,grams
natural butter extract,0.5,teaspoons
nutella,2.0,tbsps
nutella spread,150.0,grams
nutmeg,0.5,teaspoons
nutmeg,1.0,pinch
nutmeg,0.5,teaspoons
oats,243.243,grams
oil,1.0,teaspoon
olive oil,4.0,servings
olive oil,1.5,tbs
olive oil,2.0,tbsps
olive oil,3.0,tbs
olive oil,3.0,tbsps
olive oil,1.0,tbsp
olive oil,1.0,tbsp
olive oil,1.0,tbsp
olive oil,1.0,serving
olive oil to brush vegetables,8.0,servings
onion,80.0,grams
onion,80.0,grams
onion,1.0,
onion,1.0,
onion,320.0,grams
onion,1.0,large
onion,160.0,grams
onion,1.0,medium
onion,160.0,grams
onion,1.0,slice
onion,1.0,small
onion powder,2.0,teaspoons
orange cauliflower,1.0,small head
overripe banana,1.0,large
panko crumbs,90.0,grams
paprika,1.0,tbsp
parmesan cheese,3.0,tbsps
parmesan cheese,12.5,grams
parmesan cheese,8.0,teaspoons
parsley,60.0,grams
parsley,30.0,grams
parsley,1.0,teaspoon
pasteurized egg whites,60.75,milliliters
pastry,10.0,servings
pastry cream,6.0,servings
peanut butter,1.0,tbsp
peanut oil,2.0,tbsps
pearl onions,20.0,larges
pecans,99.0,grams
pecans,113.398,grams
pecans,54.5,grams
penne pasta,226.796,grams
pepper,1.0,teaspoon
pepper,1.0,dash
pepper,2.0,
pepper,0.25,teaspoons
pepper,0.25,teaspoons
pepper,0.5,teaspoons
pepper,1.0,teaspoon
pepper,0.5,teaspoons
pepper,6.0,servings
pepper,0.25,teaspoons
peppermint extract,0.75,teaspoons
pickled jalapenos,34.0,grams
pineapple,123.75,grams
pink salt,0.5,teaspoons
pistachios,61.5,grams
popsicle moulds,6.0,
popsicle moulds,6.0,
pork loin,1.361,kgs
potatoes,630.0,milliliters
potatoes,420.0,milliliters
poultry seasoning,2.0,teaspoons
powder sugar,1.0,tbsp
powdered sugar,30.0,grams
powdered sugar,30.0,grams
powdered xylitol,118.294,milliliters
quinoa,170.0,grams
raspberries,60.0,grams
raspberries,2.0,pints
raspberry jam,2.0,teaspoons
red wine,6.0,servings
red wine,472.0,milliliters
reserve a bit of sugar and cream,3.0,servings
rice,948.0,grams
rice,948.0,grams
rice,948.0,grams
rice,138.75,grams
rice flour,3.0,tbsps
rice vinegar,1.0,tbsp
rice vinegar,2.0,tbsps
rosemary,2.0,sprigs
rum,1.0,tbsp
salad oil,1.0,tbsp
salmon fillet,907.185,grams
salt,1.0,teaspoon
salt,0.125,teaspoons
salt,1.0,teaspoon
salt,0.5,teaspoons
salt,0.5,teaspoons
salt,0.5,teaspoons
salt,0.25,teaspoons
salt,0.5,teaspoons
salt,0.125,teaspoons
salt,1.0,teaspoon
salt,0.125,teaspoons
salt,0.75,teaspoons
salt,0.5,teaspoons
salt,0.5,teaspoons
salt,6.0,tbsps
salt,0.5,teaspoons
salt,2.0,servings
salt,1.0,pinch
salt,4.0,servings
salt,0.25,teaspoons
salt,1.0,pinch
salt,2.0,teaspoons
salt & pepper,4.0,servings
salt & pepper,4.0,servings
salt & pepper,6.0,servings
salt & pepper,8.0,servings
salt & pepper,8.0,servings
salt & pepper,3.0,servings
sea salt,0.5,teaspoons
sea salt,1.0,teaspoon
sea salt,0.25,teaspoons
sea salt,0.25,teaspoons
sesame oil,6.0,servings
sesame oil,1.5,tbsps
sesame seed,1.0,tbsp
sesame seed,1.0,serving
shallot,5.0,tbsps
sharp cheddar,452.0,grams
short macaroni,453.592,grams
short macaroni,453.592,grams
snow peas,147.0,grams
soba noodles,340.194,grams
sorghum flour,2.0,tbsps
soy milk,303.75,milliliters
spelt flour,2.0,tbsps
strawberries,113.398,grams
strawberries,360.0,grams
superfine sugar,113.398,grams
swiss chard leaves,6.0,larges
tamari sauce,1.0,tbsp
thyme,1.0,teaspoon
thyme,4.0,sprigs
thyme,1.0,teaspoon
thyme,1.0,teaspoon
tomato,1.0,medium
tomato,74.5,grams
tomato,2.0,mediums
tomato,2.0,mediums
tomato,242.0,grams
tomato paste,3.0,teaspoons
trader joe's spicy peanut vinaigrette,3.0,tbs
turmeric,1.0,teaspoon
turmeric,1.0,teaspoon
turmeric little,2.0,servings
unbleached all purpose flour,93.75,grams
vanilla,1.0,teaspoon
vanilla extract,1.0,tbsp
vanilla extract,1.0,teaspoon
vanilla extract,0.5,teaspoons
vanilla extract,3.0,teaspoons
vanilla extract,1.0,teaspoon
vanilla extract,1.0,teaspoon
vanilla extract,1.0,teaspoon
vanilla extract,1.0,teaspoon
vanilla extract,1.0,teaspoon
vanilla sugar,2.0,bags
vegetable broth,470.0,milliliters
vegetable oil,1.0,tbsp
vegetable oil,218.0,milliliters
vegetables,182.0,grams
vegetables,182.0,grams
vinegar,1.0,tb
walnuts,56.699,grams
wasabi or),2.0,tbsps
water,946.352,milliliters
water,591.47,milliliters
water,1.0,tbsp
water,473.176,milliliters
water,2.0,tbsps
water,2.0,tbsps
water,354.882,milliliters
water,118.294,milliliters
water,59.147,milliliters
water,59.147,milliliters
whipping cream,10.0,fl. oz.s
whipping cream,79.333,milliliters
whipping cream,476.0,milliliters
whipping cream,357.0,milliliters
whipping cream,238.0,milliliters
white wine,4.0,servings
worcestershire sauce,2.0,tbsps
yogurt,367.5,milliliters
yogurt,2.0,tbsps
zucchini,124.0,grams
zucchini,1.0,medium
